User,EnergyConsumption
1,301.186
2,1118.97
3,1226.22
4,972.164
5,1309.89
6,497.531
7,448.772
8,628.31
9,647.463
10,1081.58
11,431.296
12,966.342
13,317.052
14,597.42
15,306.038
16,1298.41
17,1063.72
18,317.069
19,171.566
20,1177.36
1,256.272
2,1424.05
3,290.914
4,179.948
5,1666.33
6,844.916
7,857.126
8,402.334
9,917.429
10,917.139
11,265.191
12,642.51
13,316.069
14,172.906
15,691.911
16,192.227
17,54.6978
18,1853.27
19,1080.34
20,1098.31
1,62.7484
2,1032.69
3,223.814
4,625.078
5,691.308
6,1151.32
7,234.001
8,782.169
9,415.058
10,733.42
11,1277.08
12,633.617
13,711.115
14,1066.53
15,601.186
16,935.273
17,594.889
18,1368.67
19,184.626
20,1205.04
1,939.764
2,1087.04
3,1018.16
4,197.749
5,922.193
6,863.846
7,1251.54
8,1252.18
9,1149.07
10,96.2894
11,1252.05
12,304.293
13,1498.61
14,396.412
15,885.372
16,882.129
17,481.655
18,1401.61
19,108.349
20,610.297
1,1055.98
2,211.43
3,733.38
4,573.243
5,1102.87
6,433.586
7,1093.01
8,958.45
9,841.331
10,982.824
11,1070.46
12,496.233
13,297.962
14,559.114
15,1073.36
16,667.278
17,1167.76
18,298.744
19,1018.59
20,1525.66
1,1054.37
2,213.453
3,581.583
4,335.973
5,197.951
6,1360.1
7,886.889
8,996.096
9,1026.13
10,392.52
11,547.874
12,541.538
13,1119.56
14,619.174
15,405.033
16,594.153
17,396.865
18,1385.97
19,1215.14
20,1075.08
1,409.379
2,1213.81
3,258.052
4,1265.64
5,832.67
6,405.195
7,1671.03
8,1860.72
9,20.0948
10,903.561
11,1073.11
12,567.531
13,50.1764
14,1019.9
15,907.741
16,835.815
17,1091.4
18,1179.59
19,559.209
20,1268.18
1,46.9975
2,319.914
3,844.573
4,1204.78
5,630.339
6,967.496
7,471.541
8,271.421
9,267.678
10,1580.16
11,1026.17
12,970.924
13,617.05
14,1448.44
15,337.213
16,724.876
17,1021.83
18,1111.28
19,271.555
20,1178.53
1,475.601
2,1076.74
3,961.869
4,575.075
5,633.863
6,1016.88
7,848.924
8,891.174
9,1198.82
10,131.403
11,897.482
12,952.856
13,152.32
14,113.083
15,604.282
16,981.705
17,357.817
18,33.294
19,466.338
20,1079.99
1,56.192
2,1491.24
3,481.297
4,686.399
5,257.176
6,1110.72
7,342.338
8,2109.95
9,1592.69
10,5.92115
11,287.272
12,821.5
13,250.31
14,581.664
15,791.62
16,1011.98
17,118.358
18,2133.18
19,128.964
20,785.244
1,1331.34
2,867.249
3,398.073
4,431.045
5,184.809
6,39.4376
7,1261.8
8,990.907
9,1147.03
10,212.996
11,945.34
12,1015.88
13,1920.16
14,369.042
15,1796.72
16,142.45
17,1093.24
18,1106.25
19,753.771
20,667.669
1,1676.29
2,859.597
3,468.402
4,668.63
5,953.604
6,843.469
7,389.734
8,161.646
9,465.443
10,668.747
11,1623.01
12,1068.52
13,1187.31
14,1840.05
15,1133.08
16,221.278
17,794.025
18,932.162
19,597.669
20,582.577
1,590.193
2,740.921
3,834.339
4,1152.57
5,1039.78
6,1191.88
7,1463.11
8,1072.18
9,830.906
10,1700.86
11,336.255
12,947.798
13,363.714
14,1959.23
15,1460.83
16,192.651
17,633.675
18,693.236
19,555.152
20,29.3928
1,207.795
2,690.496
3,1471.68
4,516.648
5,116.071
6,436.976
7,1343.31
8,1873.1
9,800.209
10,412.202
11,1253.84
12,140.617
13,729.399
14,377.799
15,1292.66
16,940.375
17,1419.99
18,284.155
19,846.392
20,2074.98
1,94.5296
2,41.7351
3,214.465
4,121.628
5,705.902
6,1344.74
7,1562.27
8,1004.66
9,155.503
10,1272.2
11,294.428
12,909.717
13,424.012
14,1116.09
15,390.073
16,1422.6
17,198.305
18,593.273
19,206.453
20,300.294
1,978.61
2,516.752
3,94.729
4,168.414
5,48.2333
6,485.555
7,125.181
8,1746.1
9,607.053
10,1661.54
11,923.137
12,403.695
13,228.053
14,453.647
15,353.899
16,470.895
17,1787.86
18,1088.74
19,1031.87
20,376.776
1,640.658
2,396.989
3,15.8994
4,1400.27
5,287.853
6,193.544
7,988.387
8,247.063
9,681.921
10,342.787
11,347.923
12,358.859
13,1029.96
14,596.439
15,277.157
16,861.421
17,1361.96
18,1337.69
19,367.406
20,508.708
1,674.812
2,1767.83
3,1506.48
4,454.108
5,337.507
6,423.273
7,660.331
8,678.356
9,1270.77
10,1196.98
11,603.364
12,427.655
13,2.72833
14,20.0832
15,1099.97
16,420.183
17,2046.92
18,1034.41
19,1260.79
20,1224.13
1,183.844
2,361.0
3,292.807
4,857.936
5,773.916
6,791.9
7,17.807
8,922.35
9,583.992
10,277.549
11,613.536
12,774.14
13,966.626
14,250.348
15,1048.14
16,1040.47
17,251.578
18,1479.23
19,1185.06
20,577.517
1,1070.33
2,468.431
3,716.625
4,138.524
5,1829.3
6,732.606
7,643.338
8,1470.18
9,191.381
10,1066.42
11,794.085
12,334.547
13,839.062
14,754.346
15,1272.77
16,618.935
17,26.6053
18,1120.94
19,273.778
20,13.0294
